frame_number,track_id,class_name,speed_kph,pixel_distance_per_frame
647,151,truck,7.49,1.0
647,268,car,214.25,28.6
647,215,car,16.75,2.24
648,202,car,128.88,17.2
648,205,car,23.69,3.16
648,231,car,27.01,3.61
648,151,truck,0.0,0.0
648,268,car,170.82,22.8
648,215,car,14.98,2.0
649,202,car,135.04,18.03
649,205,car,7.49,1.0
649,231,car,16.75,2.24
649,151,truck,0.0,0.0
649,268,car,158.91,21.21
649,215,car,27.01,3.61
650,202,car,141.34,18.87
650,205,car,7.49,1.0
650,231,car,16.75,2.24
650,151,truck,0.0,0.0
650,268,car,139.34,18.6
650,215,car,10.59,1.41
651,202,car,166.33,22.2
651,205,car,10.59,1.41
651,231,car,16.75,2.24
651,151,truck,7.49,1.0
651,268,car,132.53,17.69
651,215,car,16.75,2.24
652,202,car,178.69,23.85
652,205,car,23.69,3.16
652,231,car,21.19,2.83
652,151,truck,0.0,0.0
652,268,car,116.53,15.56
652,215,car,27.01,3.61
653,202,car,189.06,25.24
653,205,car,23.69,3.16
653,231,car,21.19,2.83
653,151,truck,7.49,1.0
653,268,car,100.78,13.45
653,215,car,10.59,1.41
654,202,car,197.91,26.42
654,205,car,10.59,1.41
654,231,car,22.47,3.0
654,151,truck,0.0,0.0
654,268,car,111.36,14.87
654,215,car,33.5,4.47
655,202,car,262.07,34.99
655,205,car,7.49,1.0
655,151,truck,7.49,1.0
655,268,car,91.44,12.21
655,215,car,10.59,1.41
656,202,car,206.65,27.59
656,205,car,10.59,1.41
656,151,truck,7.49,1.0
656,268,car,84.75,11.31
656,215,car,10.59,1.41
657,202,car,212.93,28.43
657,205,car,10.59,1.41
657,151,bus,0.0,0.0
657,268,car,112.36,15.0
657,215,car,16.75,2.24
658,205,car,7.49,1.0
658,151,truck,7.49,1.0
658,268,car,85.41,11.4
